time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,cv/rollout_cv_value,time/fps,cv/rollout_cv_count,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
288,-10.90246794,50.0,8618.135152965784,316,10655,14400,45,0.001,0.003848983314819634,2.9556965255737304,4350
292,-10.573902910000001,50.0,8623.337158832699,313,10669,14600,46,0.001,0.0026694924500770866,3.0194534492492675,4550
296,-10.294838500000001,50.0,8627.36980817467,310,10684,14800,47,0.001,0.0031310557248070835,3.0749491024017335,4750
300,-9.930600270000001,50.0,8633.485113658011,309,10699,15000,48,0.001,0.0035032336274161933,3.143273210525513,4950
304,-9.632662830000001,50.0,8636.418304659426,307,10707,15200,49,0.001,0.0031420589447952807,3.190380501747131,5150
308,-9.390212609999999,50.0,8638.938037358224,306,10716,15400,50,0.001,0.003606139742769301,3.2216136837005616,5350
312,-9.31235366,50.0,8642.068829771131,304,10727,15600,51,0.001,0.00365693949861452,3.283309359550476,5550
316,-9.20632838,50.0,8647.556160524487,301,10745,15800,52,0.001,0.003333907877095044,3.340417494773865,5750
320,-9.034157750000002,50.0,8653.187317878008,299,10763,16000,53,0.001,0.0036555915349163115,3.325732021331787,5950
324,-8.78366055,50.0,8657.538081794977,298,10781,16200,54,0.001,0.0038313548010773957,3.37326425075531,6150
328,-8.5004129,50.0,8660.867205437273,296,10793,16400,55,0.001,0.003933412805199623,3.3915963792800903,6350
332,-8.31583704,50.0,8664.927275817841,293,10807,16600,56,0.001,0.005051098670810461,3.420785675048828,6550
336,-8.079621190000001,50.0,8666.837271481752,291,10815,16800,57,0.001,0.003413452017121017,3.392520251274109,6750
340,-7.93102014,50.0,8671.17622057721,289,10831,17000,58,0.001,0.006322553274221718,3.416201310157776,6950
344,-7.549705009999999,50.0,8672.145980648696,288,10832,17200,59,0.001,0.004940344807691872,3.4442194747924804,7150
348,-7.280012290000002,50.0,8674.680022988468,287,10840,17400,60,0.001,0.004327896567992866,3.4810052585601805,7350
352,-7.079429690000001,50.0,8677.984285771847,286,10848,17600,61,0.001,0.004511946891434491,3.4577481746673584,7550
356,-6.925769540000001,50.0,8679.406618710607,284,10851,17800,62,0.001,0.00366950212046504,3.41493577003479,7750
360,-6.816574730000001,50.0,8684.182317551225,284,10863,18000,63,0.001,0.005255667250603438,3.4769536590576173,7950
364,-6.8176222399999995,50.0,8689.65623736009,282,10875,18200,64,0.001,0.005591950514353811,3.496933159828186,8150
368,-6.593183000000002,50.0,8694.58738359809,281,10889,18400,65,0.001,0.003885693778283894,3.491664934158325,8350
372,-6.45555309,50.0,8699.003646709025,281,10905,18600,66,0.001,0.003940444816835225,3.516327214241028,8550
376,-6.37396424,50.0,8702.592906579375,279,10920,18800,67,0.001,0.0038406388461589814,3.5358131980895995,8750
380,-6.338117520000002,50.0,8706.548875112087,278,10932,19000,68,0.001,0.004542944207787514,3.5331920099258425,8950
384,-6.280830729999999,50.0,8713.340337444097,277,10948,19200,69,0.001,0.0029470750619657337,3.5169052505493164,9150
388,-6.32567267,50.0,8719.446689680219,277,10963,19400,70,0.001,0.004154498274438083,3.5284583950042725,9350
392,-6.37649269,50.0,8726.857373859733,276,10993,19600,70,0.001,0.005457687289454043,3.542843246459961,9550
396,-6.30518533,50.0,8729.533459816128,275,10998,19800,71,0.001,0.004181147306226194,3.578606433868408,9750
400,-6.246934240000001,50.0,8735.082823503762,274,11015,20000,72,0.001,0.004475728529505432,3.5907360029220583,9950
404,-6.335641539999999,50.0,8741.52810325846,273,11033,20200,73,0.001,0.004825864974409341,3.5803404951095583,10150
408,-6.293395189999999,50.0,8744.233436465263,273,11042,20400,74,0.001,0.004632488335482776,3.5734297132492063,10350
412,-6.25745621,50.0,8749.431249495596,273,11059,20600,75,0.001,0.00438834912609309,3.5811643552780152,10550
416,-6.16722385,50.0,8756.401686999947,272,11077,20800,76,0.001,0.003836802770383656,3.5848744106292725,10750
420,-6.199742879999999,50.0,8766.434210453182,271,11102,21000,77,0.001,0.006113981208764017,3.581177053451538,10950
424,-6.153739189999999,50.0,8773.478733807802,270,11123,21200,78,0.001,0.004607717585749924,3.5841416549682616,11150
428,-6.083113389999999,50.0,8777.816513996571,269,11139,21400,79,0.001,0.005646508471108973,3.574344987869263,11350
432,-5.996908479999999,50.0,8782.099175952375,269,11152,21600,80,0.001,0.005288373865187168,3.5891654014587404,11550
436,-6.01912961,50.0,8788.798099327832,268,11169,21800,81,0.001,0.0063780539901927115,3.6196835613250733,11750
440,-5.98681237,50.0,8795.326198637486,268,11186,22000,81,0.001,0.0059021862782537935,3.5708049869537355,11950
444,-6.1043253900000005,50.0,8799.470039501786,267,11199,22200,82,0.001,0.0044903234997764226,3.5541231060028076,12150
448,-6.222310640000001,50.0,8808.49100145325,267,11222,22400,83,0.001,0.00510947875212878,3.566904721260071,12350
452,-6.27277777,50.0,8814.83734793961,267,11239,22600,84,0.001,0.005423841020092368,3.6153209829330444,12550
456,-6.28625088,50.0,8819.80243403837,267,11255,22800,85,0.001,0.00498642013873905,3.5390244340896606,12750
460,-6.2798084,50.0,8828.656108766794,266,11273,23000,86,0.001,0.00500351550988853,3.6000630378723146,12950
464,-6.287879739999999,50.0,8835.828024405986,266,11294,23200,86,0.001,0.005408458602614701,3.5954105615615846,13150
468,-6.3084808400000005,50.0,8846.629051245749,266,11319,23400,87,0.001,0.00577872249763459,3.6143353176116944,13350
472,-6.290898920000001,50.0,8853.44578005001,265,11337,23600,88,0.001,0.005249670781195164,3.597184100151062,13550
476,-6.3507279699999994,50.0,8861.276120088995,265,11360,23800,89,0.001,0.004911882453598082,3.606333265304565,13750
480,-6.394888519999999,50.0,8873.47631118074,265,11385,24000,90,0.001,0.004254320519976318,3.569012689590454,13950
484,-6.3268264499999995,50.0,8877.137391112745,264,11395,24200,91,0.001,0.005405371650122106,3.5912332057952883,14150
488,-6.283623379999999,50.0,8881.9532164298,264,11411,24400,92,0.001,0.004853506139479578,3.5764636325836183,14350
492,-6.214532299999999,50.0,8886.40687007457,264,11428,24600,93,0.001,0.0049119820771738884,3.5828572607040403,14550
496,-6.246928750000002,50.0,8893.913601189852,264,11449,24800,93,0.001,0.004876602878794074,3.5484121561050417,14750
500,-6.27473358,50.0,8901.774362485856,263,11466,25000,94,0.001,0.005491504827514291,3.6027958726882936,14950
504,-6.224091720000001,50.0,8904.282727438956,263,11474,25200,95,0.001,0.005113914781250059,3.5437228012084963,15150
508,-6.18496072,50.0,8907.472520526499,263,11485,25400,96,0.001,0.005763794537633657,3.5552413845062256,15350
512,-6.115592239999999,50.0,8911.43978786841,262,11494,25600,97,0.001,0.005914291529916227,3.5874456405639648,15550
516,-6.0710820100000005,50.0,8913.420568980277,262,11498,25800,98,0.001,0.0052756979269906875,3.561536273956299,15750
520,-6.01076862,50.0,8922.558624267578,262,11520,26000,98,0.001,0.004831732530146837,3.5444486856460573,15950
524,-6.01653842,50.0,8929.82656300813,262,11536,26200,99,0.001,0.006440265164710582,3.6059044456481932,16150
528,-6.012994819999999,50.0,8933.858765881509,262,11552,26400,100,0.001,0.004957737978547812,3.609355025291443,16350
532,-6.045923609999999,50.0,8940.301261369139,261,11567,26600,101,0.001,0.004706158335320652,3.544205551147461,16550
536,-6.02959673,50.0,8945.908152244985,261,11585,26800,102,0.001,0.006912968186661601,3.521978063583374,16750
540,-6.0349556699999996,50.0,8949.422246802598,261,11594,27000,103,0.001,0.0048705914430320265,3.5932481861114502,16950
544,-6.01727948,50.0,8953.115130286664,261,11602,27200,104,0.001,0.004558057421818375,3.5699816370010375,17150
548,-5.972756849999999,50.0,8958.317440867424,260,11616,27400,105,0.001,0.005578665123321116,3.587928628921509,17350
552,-5.973416909999998,50.0,8965.243435893208,260,11634,27600,105,0.001,0.005851221424527466,3.583728094100952,17550
556,-5.98371873,50.0,8972.791954748333,260,11651,27800,106,0.001,0.005236919438466429,3.5195279264450074,17750
560,-5.98060926,50.0,8978.187859877944,260,11669,28000,107,0.001,0.005649554906412959,3.5492379474639892,17950
564,-5.943598330000001,50.0,8985.848970375955,260,11688,28200,108,0.001,0.006815774408169091,3.5703498554229736,18150
568,-5.92315932,50.0,8991.831935774535,259,11703,28400,109,0.001,0.005809301324188709,3.5287918424606324,18350
572,-5.90647725,50.0,8996.994289439172,259,11716,28600,110,0.001,0.005381505661644042,3.5035459852218627,18550
576,-5.902354399999999,50.0,9005.652772635221,259,11736,28800,111,0.001,0.0051828192081302404,3.509303665161133,18750
580,-5.840606279999999,50.0,9010.191779892892,258,11747,29000,112,0.001,0.006372495079413057,3.518560037612915,18950
584,-5.822987540000001,50.0,9012.900296866894,258,11756,29200,112,0.001,0.0049403688730672,3.4776485347747803,19150
588,-5.86670716,50.0,9022.745529688895,258,11776,29400,113,0.001,0.005526400879025459,3.5180426120758055,19350
592,-5.856575490000001,50.0,9026.90804367885,258,11789,29600,114,0.001,0.008556654453277588,3.4755966234207154,19550
596,-5.92812211,50.0,9043.880441948771,257,11820,29800,115,0.001,0.006030988856218755,3.4776894521713255,19750
600,-5.838318549999999,50.0,9050.637242421508,257,11834,30000,116,0.001,0.005288905031047762,3.4195645666122436,19950
604,-5.895751539999999,50.0,9060.997250068933,257,11858,30200,117,0.001,0.006687553329393268,3.453665328025818,20150
608,-5.94302942,50.0,9068.291572738439,257,11873,30400,118,0.001,0.007491273526102305,3.4566347789764404,20350
612,-6.006079110000002,50.0,9079.519238755107,257,11899,30600,118,0.001,0.006651769750751555,3.4028782176971437,20550
616,-6.01300213,50.0,9085.9962583296,257,11912,30800,119,0.001,0.00657073434907943,3.3899418687820435,20750
620,-6.00347333,50.0,9093.973559856415,256,11927,31000,120,0.001,0.007529396116733551,3.3756582498550416,20950
624,-5.96422363,50.0,9097.25682991743,256,11937,31200,121,0.001,0.007459854269400239,3.39113169670105,21150
628,-6.029240689999999,50.0,9105.251898299903,256,11953,31400,122,0.001,0.007378260148689151,3.358789005279541,21350
632,-5.9679584499999985,50.0,9109.19740350917,256,11963,31600,123,0.001,0.00831506502814591,3.374284110069275,21550
636,-5.870973029999999,50.0,9111.012374538928,256,11967,31800,123,0.001,0.007804554495960474,3.3380137348175047,21750
640,-6.006087750000001,50.0,9156.580127868801,256,12039,32000,124,0.001,0.006862263716757297,3.2229589509963987,21950
644,-5.98089734,50.0,9166.249749671668,255,12049,32200,125,0.001,0.007542314520105719,3.238085699081421,22150
648,-6.070062859999999,50.0,9214.580260518938,255,12112,32400,126,0.001,0.010662634409964084,3.229967432022095,22350
652,-5.9687585,50.0,9216.158440068364,255,12117,32600,127,0.001,0.006489068930968642,3.2918754768371583,22550
656,-5.95364931,50.0,9219.185616049916,255,12126,32800,128,0.001,0.006965906829573214,3.1927931404113767,22750
660,-5.954326150000001,50.0,9222.549106903374,255,12137,33000,129,0.001,0.006141097065992653,3.2586656379699708,22950
664,-5.9610827,50.0,9229.98521591723,254,12157,33200,130,0.001,0.0056370445340871815,3.2348044109344483,23150
668,-5.969169270000001,50.0,9238.713547382504,254,12173,33400,131,0.001,0.005757275577634573,3.1785874557495117,23350
672,-5.971285740000001,50.0,9246.32338245958,254,12193,33600,131,0.001,0.0056043002102524045,3.1781885528564455,23550
676,-5.897868790000001,50.0,9250.13089730218,254,12204,33800,132,0.001,0.006109417388215661,3.1622595739364625,23750
680,-5.98582248,50.0,9268.337262921035,254,12233,34000,133,0.001,0.005643220734782517,3.1526987981796264,23950
684,-6.148610100000001,50.0,9285.71936205402,254,12259,34200,134,0.001,0.004850172838196158,3.2222941017150877,24150
688,-6.12592431,50.0,9291.53914329037,254,12278,34400,135,0.001,0.006196599900722504,3.1874931764602663,24350
692,-6.22101775,50.0,9307.92157336697,254,12304,34600,136,0.001,0.005904091340489685,3.15671778678894,24550
696,-6.179502289999999,50.0,9317.414071835577,253,12333,34800,137,0.001,0.00872083693742752,3.178677406311035,24750
700,-6.229131259999999,50.0,9328.88945967704,253,12353,35000,137,0.001,0.007640654807910323,3.111608138084412,24950
704,-6.201329349999998,50.0,9341.07502861321,253,12373,35200,138,0.001,0.0069259445741772655,3.108842577934265,25150
708,-6.267097999999999,50.0,9361.841247580945,253,12405,35400,139,0.001,0.007053622109815479,3.1590140676498413,25350
712,-6.255734510000002,50.0,9376.309826910496,253,12429,35600,140,0.001,0.007799653224647045,3.112935390472412,25550
716,-6.251526990000001,50.0,9384.210996106267,253,12452,35800,141,0.001,0.00709282950963825,3.130046000480652,25750
720,-6.30349283,50.0,9396.8420641087,252,12475,36000,142,0.001,0.0065621061623096465,3.0647714042663576,25950
724,-6.301577210000001,50.0,9400.720396447927,252,12487,36200,143,0.001,0.006302959532476961,3.0766298389434814,26150
728,-6.2737587700000015,50.0,9410.26048186794,252,12510,36400,144,0.001,0.006744836512953043,3.0556596755981444,26350
732,-6.34081914,50.0,9417.224372830242,252,12529,36600,144,0.001,0.0066124694095924495,3.0526913738250734,26550
736,-6.39565115,50.0,9419.668736908585,252,12534,36800,145,0.001,0.006754754236899316,3.0134827423095705,26750
740,-6.29561701,50.0,9425.453587934375,252,12548,37000,146,0.001,0.007439665077254176,3.058292741775513,26950
744,-6.377006669999998,50.0,9435.940576590598,252,12577,37200,147,0.001,0.0074128863913938406,2.967784757614136,27150
748,-6.2853324100000005,50.0,9442.994956359267,252,12590,37400,148,0.001,0.006594414301216603,2.990552296638489,27350
752,-6.383464730000001,50.0,9451.609040219337,252,12613,37600,149,0.001,0.007325721746310592,2.9999103212356566,27550
756,-6.443702350000001,50.0,9463.035388175398,251,12636,37800,150,0.001,0.006833565845154226,2.9845473957061768,27750
760,-6.523636750000001,50.0,9480.933058090508,251,12669,38000,151,0.001,0.00624493120238185,2.9640608644485473,27950
764,-6.532678389999998,50.0,9490.692000422627,251,12693,38200,151,0.001,0.008423271365463733,2.961804552078247,28150
768,-6.55750268,50.0,9501.895943615586,251,12716,38400,152,0.001,0.0050340162543579935,3.000474801063538,28350
772,-6.575087549999998,50.0,9504.812104362994,251,12725,38600,153,0.001,0.006481598475947976,2.908715705871582,28550
776,-6.641327439999999,50.0,9509.302669622004,251,12741,38800,154,0.001,0.005974183166399598,2.9661524963378905,28750
780,-6.656268690000001,50.0,9522.304845418781,251,12769,39000,154,0.001,0.007897634785622358,2.971352677345276,28950
784,-6.5558301000000005,50.0,9532.784096125513,251,12792,39200,155,0.001,0.006207547876983881,2.939866919517517,29150
788,-6.576115850000001,50.0,9544.130562577397,251,12816,39400,156,0.001,0.006462351116351783,2.953778190612793,29350
792,-6.438704829999999,50.0,9546.669309329242,251,12824,39600,157,0.001,0.006312697138637305,2.9345145177841188,29550
796,-6.437928769999998,50.0,9560.235913325101,251,12845,39800,158,0.001,0.0071922287344932554,2.936413941383362,29750
800,-6.4076625699999985,50.0,9567.282597456127,251,12863,40000,158,0.001,0.006720193233340979,2.9091971015930174,29950
804,-6.367495729999998,50.0,9574.310527667403,251,12872,40200,159,0.001,0.005933040296658873,2.924436092376709,30150
808,-6.318999880000002,50.0,9579.428786527365,252,12883,40400,160,0.001,0.006598543161526322,2.9228033590316773,30350
812,-6.28607497,50.0,9583.844944935292,252,12897,40600,161,0.001,0.00526919147465378,2.9396988201141356,30550
816,-6.29946155,50.0,9589.601856648922,252,12914,40800,161,0.001,0.006839562156237662,2.9438591766357423,30750
820,-6.199493329999999,50.0,9591.4055204615,252,12920,41000,162,0.001,0.005189297059550881,2.9577346658706665,30950
824,-6.25717019,50.0,9595.31495634839,252,12931,41200,163,0.001,0.008045805064029991,2.9243029165267944,31150
828,-6.268412560000001,50.0,9600.228743329644,252,12946,41400,164,0.001,0.006291959099471569,2.91572557926178,31350
832,-6.290725839999999,50.0,9606.51480224356,252,12960,41600,164,0.001,0.005138724739663303,2.8865721368789674,31550
836,-6.256973339999999,50.0,9609.084357462823,252,12966,41800,165,0.001,0.0071792329754680395,3.0004672050476073,31750
840,-6.243459219999998,50.0,9613.464572291821,252,12978,42000,166,0.001,0.005858346847817302,2.8914860534667968,31950
844,-6.230342510000001,50.0,9617.069084815681,252,12991,42200,167,0.001,0.00924927138723433,2.9136683559417724,32150
848,-6.20859888,50.0,9627.385024178773,252,13013,42400,167,0.001,0.005933175100944936,2.9002238273620606,32350
852,-6.174771290000001,50.0,9634.7078265436,252,13034,42600,168,0.001,0.006678763618692756,2.9602547216415407,32550
856,-6.15514417,50.0,9641.354924540967,252,13051,42800,169,0.001,0.006405659141018987,2.9010841751098635,32750
860,-6.095049219999998,50.0,9652.081420779228,252,13075,43000,170,0.001,0.004986713924445212,2.941258773803711,32950
864,-6.04916305,50.0,9655.268674839288,252,13083,43200,171,0.001,0.005266884574666619,2.8672187089920045,33150
868,-5.9864969100000005,50.0,9657.948153693229,252,13092,43400,171,0.001,0.005057274112477899,2.9074671363830564,33350
872,-5.932453509999998,50.0,9661.233905397356,252,13104,43600,172,0.001,0.006332731489092112,2.9056317901611326,33550
876,-5.92303087,50.0,9675.327872879803,252,13130,43800,173,0.001,0.005096652708016336,2.9088124799728394,33750
880,-5.85455722,50.0,9684.80218116939,252,13141,44000,174,0.001,0.006099277385510504,2.8723042583465577,33950
884,-5.8392190600000005,50.0,9696.028512962162,252,13160,44200,174,0.001,0.006808734540827572,2.8590736293792727,34150
888,-5.799552200000001,50.0,9705.062286470085,252,13182,44400,175,0.001,0.005540601210668683,2.845150990486145,34350
892,-5.756728230000001,50.0,9706.186926543713,252,13183,44600,176,0.001,0.004976919083856046,2.8593278789520262,34550
896,-5.7338252700000005,50.0,9714.608497262001,252,13199,44800,177,0.001,0.006139639187604189,2.845319137573242,34750
900,-5.771573849999999,50.0,9721.92328254506,252,13216,45000,178,0.001,0.005753293470479548,2.882086148262024,34950
904,-5.82966876,50.0,9746.521591618657,252,13248,45200,179,0.001,0.006583832246251404,2.8555906343460085,35150
908,-5.780911550000001,50.0,9750.8232781142,251,13257,45400,180,0.001,0.007455002539791167,2.836665949821472,35350
912,-5.744522430000001,50.0,9755.834422711283,251,13271,45600,181,0.001,0.006805719342082739,2.8056642150878908,35550
916,-5.744095539999998,50.0,9767.827471610159,251,13293,45800,182,0.001,0.006209048791788518,2.864509778022766,35750
920,-5.83137373,50.0,9778.06884323433,251,13310,46000,183,0.001,0.005892585702240467,2.83070855140686,35950
924,-5.8618601099999985,50.0,9802.63261185214,250,13345,46200,184,0.001,0.005871326252818107,2.846678681373596,36150
928,-5.852583989999999,50.0,9809.498109128326,250,13357,46400,185,0.001,0.005117561859078705,2.8165750026702883,36350
932,-5.82277996,50.0,9814.146693885326,250,13371,46600,185,0.001,0.006207837052643299,2.8143633031845092,36550
936,-5.856808250000001,50.0,9819.849032394588,250,13387,46800,186,0.001,0.006726256222464144,2.809374303817749,36750
940,-5.783699680000001,50.0,9824.856980931014,250,13401,47000,187,0.001,0.006021245918236673,2.8416746950149534,36950
944,-5.784108939999999,50.0,9849.294173639268,250,13433,47200,188,0.001,0.0060066284472122785,2.8052500247955323,37150
948,-5.847633320000001,50.0,9866.085868999362,250,13463,47400,189,0.001,0.006680589788593352,2.806813988685608,37350
952,-5.90270076,50.0,9877.615944102407,250,13485,47600,190,0.001,0.007233341378159821,2.8166772603988646,37550
956,-5.90079538,50.0,9882.837520442903,250,13494,47800,190,0.001,0.0058133091265335675,2.743226270675659,37750
960,-5.848322360000001,50.0,9891.907073147595,250,13511,48000,191,0.001,0.006178246517665684,2.751091732978821,37950
964,-5.869418089999998,50.0,9902.605475388467,250,13529,48200,192,0.001,0.0051520230108872056,2.7318795776367186,38150
968,-5.792783869999999,50.0,9904.53680627048,250,13536,48400,193,0.001,0.00623123521450907,2.7409103298187256,38350
972,-5.794782639999999,50.0,9911.306677639484,250,13545,48600,194,0.001,0.005168736246414483,2.7304332065582275,38550
976,-5.77977464,50.0,9919.88172519207,249,13563,48800,195,0.001,0.004924348066560924,2.7416408824920655,38750
980,-5.8041256599999995,50.0,9937.37370447442,249,13591,49000,196,0.001,0.00586443942040205,2.740731258392334,38950
984,-5.839213240000001,50.0,9959.340684473515,249,13625,49200,197,0.001,0.005375462779775262,2.8002064514160154,39150
988,-5.849676999999999,50.0,9964.177603509277,249,13640,49400,198,0.001,0.007479333635419607,2.73000750541687,39350
992,-5.9895749500000015,50.0,9975.227453682572,248,13666,49600,199,0.001,0.005046474770642817,2.7123682355880736,39550
996,-5.9874095,50.0,9981.736731287092,248,13685,49800,200,0.001,0.005491522764787078,2.690989956855774,39750
1000,-5.937984170000001,50.0,9986.122685100883,248,13695,50000,200,0.001,0.006128805126063525,2.7084992599487303,39950
1004,-5.919322639999999,50.0,10003.969600468874,248,13722,50200,201,0.001,0.00475035329349339,2.72528687953949,40150
1008,-5.96619433,50.0,10012.368838850409,248,13735,50400,202,0.001,0.0054435690864920614,2.698608160018921,40350
1012,-6.019949109999999,50.0,10019.867430914193,248,13748,50600,203,0.001,0.006209876481443643,2.6892789459228514,40550
1016,-6.04927406,50.0,10027.335095386952,248,13767,50800,204,0.001,0.006027807705104351,2.696095461845398,40750
1020,-6.00742259,50.0,10035.34319678694,247,13783,51000,205,0.001,0.006599505157209933,2.6635089921951294,40950
1024,-5.88959061,50.0,10040.036167997867,247,13795,51200,206,0.001,0.005878031919710338,2.6771032428741455,41150
