train/time_elapsed,train/epoch,train/recall,train/accuracy,train/mean_loss,train/f1
37.343865633010864,1,0.994244,1.0,45.060842520301634,0.9971136932090556
75.98371434211731,2,0.987408,1.0,40.38074072304743,0.993664109231723
113.86937832832336,3,0.984146,1.0,51.48925152158664,0.992009660579413
154.30633163452148,4,0.992496,1.0,45.922664343395645,0.9962338694782825
194.0642650127411,5,0.985036,1.0,49.59853801602534,0.9924615976737954
235.27052855491638,6,0.987476,1.0,46.31931459600203,0.9936985402591025
272.42673087120056,7,0.987202,1.0,48.33381986479249,0.9935597890903894
311.91712856292725,8,0.990048,1.0,45.392631235209315,0.9949991155992217
349.52800154685974,9,0.985414,1.0,41.965384939218374,0.9926534214022869
388.770681142807,10,0.99043,1.0,45.54493198579629,0.9951919936898058
427.2697284221649,11,0.981656,1.0,41.638666306518424,0.9907430956735175
465.3335587978363,12,0.994072,1.0,37.69711284520926,0.9970271885869717
499.26804971694946,13,0.983538,1.0,41.128250448462175,0.99170068836594
537.4248971939087,14,0.990168,1.0,35.39229979771004,0.9950597135518208
573.2283220291138,15,0.979266,1.0,45.28175454017084,0.9895243994490887
611.5081086158752,16,0.993596,1.0,37.75962695647927,0.9967877142610639
649.1046512126923,17,0.973618,1.0,39.900772157564624,0.9866326715706889
688.019859790802,18,0.98749,1.0,38.61766755040983,0.9937056287075658
716.3897595405579,19,0.976618,1.0,38.502674129824925,0.9881707036969207
752.0370397567749,20,0.98425,1.0,37.37695272756453,0.9920624921254882
793.5543308258057,21,0.982832,1.0,35.93987033870776,0.9913416769549815
835.5150003433228,22,0.985742,1.0,31.993933156521624,0.9928198124429054
871.4915556907654,23,0.98499,1.0,38.136384700770996,0.9924382490591892
907.2476375102997,24,0.98612,1.0,40.58539384594349,0.9930114998086721
946.4442083835602,25,0.98454,1.0,41.33972655578365,0.9922097816118597
987.1464400291443,26,0.986722,1.0,36.869478264036175,0.9933166291005989
1027.3968884944916,27,0.99276,1.0,37.73399266818712,0.9963668479897227
1066.8006546497345,28,0.994046,1.0,34.16107250626524,0.9970141110084723
1108.3127636909485,29,0.98477,1.0,29.042368555599737,0.9923265668062294
1149.2628481388092,30,0.98801,1.0,32.965610543172524,0.9939688432150744
1187.688214302063,31,0.994756,1.0,40.07518615199209,0.9973711070426658
