time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
23,208,50.0,445,6970.874010913074,10400,9179,-13.437683649999997,350,0.4907236123085022,0.001,0.0027573800110258164
24,212,50.0,428,7297.094183199108,10600,9379,-13.38771631,550,0.5804935109615326,0.001,0.0015662022319156677
26,216,50.0,412,7589.057938091457,10800,9579,-13.188511469999998,750,0.7279525411128998,0.001,0.002290255380794406
27,220,50.0,397,7852.552043609321,11000,9779,-12.981851790000002,950,0.814316873550415,0.001,0.001602228928823024
29,224,50.0,386,8084.189605738968,11200,9977,-12.70787251,1150,0.9268620955944061,0.001,0.0020049584354273975
30,228,50.0,376,8340.57421251759,11400,10177,-12.776059040000005,1350,0.9565017080307007,0.001,0.0016517078620381653
31,232,50.0,367,8577.393088724464,11600,10377,-12.657076410000002,1550,0.909493271112442,0.001,0.001685447928030044
32,236,50.0,360,8776.52709576115,11800,10577,-12.618365740000002,1750,0.9281232190132142,0.001,0.0015689350850880146
34,240,50.0,352,8968.642967395484,12000,10775,-12.54175573,1950,1.047012778520584,0.001,0.0014894903625827282
35,244,50.0,346,9168.30407653004,12200,10974,-12.490670450000003,2150,1.1978211045265197,0.001,0.001165505051612854
36,248,50.0,338,9354.442308124155,12400,11169,-12.530706130000006,2350,1.352629132270813,0.001,0.0016628002934157848
37,252,50.0,332,9564.424486171454,12600,11369,-12.55565261,2550,1.4721832942962647,0.001,0.0011455005290918051
39,256,50.0,327,9737.359667889774,12800,11555,-12.510259240000003,2750,1.5755055713653565,0.001,0.001313752850983292
40,260,50.0,322,9911.486187610775,13000,11753,-12.497010850000004,2950,1.6906592106819154,0.001,0.0013428472995292396
41,264,50.0,317,10066.064974196255,13200,11948,-12.399369490000002,3150,1.7745315718650818,0.001,0.001537014622008428
42,268,50.0,313,10197.575652182102,13400,12114,-12.209231009999998,3350,1.8667404294013976,0.001,0.001474726367741823
43,272,50.0,310,10275.546428315341,13600,12238,-12.08067366,3550,2.006781208515167,0.001,0.0016310952964704484
44,276,50.0,307,10316.669159151614,13800,12358,-11.928166349999996,3750,2.1219999170303345,0.001,0.0025692735658958553
45,280,50.0,305,10360.578665219247,14000,12453,-11.62676073,3950,2.2306934905052187,0.001,0.002026081313379109
46,284,50.0,303,10378.303166981786,14200,12515,-11.493235910000001,4150,2.359796266555786,0.001,0.0017908323393203318
47,288,50.0,301,10385.008049212396,14400,12542,-11.379077849999998,4350,2.4523442935943605,0.001,0.002813079042825848
48,292,50.0,300,10393.208050452173,14600,12570,-11.201211390000001,4550,2.5626527738571165,0.001,0.003112170365639031
49,296,50.0,299,10399.182576961815,14800,12588,-10.968441149999999,4750,2.6749041938781737,0.001,0.002436738796532154
50,300,50.0,299,10400.22833121568,15000,12590,-10.552505400000003,4950,2.7476805543899534,0.001,0.0027800668543204667
51,304,50.0,297,10412.62497229129,15200,12622,-10.464403840000003,5150,2.8725985956192015,0.001,0.003220244429539889
51,308,50.0,296,10416.723077140749,15400,12634,-10.305706379999998,5350,2.9275400018692017,0.001,0.0020828710380010307
52,312,50.0,294,10425.363726440817,15600,12658,-10.164183300000001,5550,3.0054664468765258,0.001,0.0031356939184479416
53,316,50.0,294,10430.343388523906,15800,12669,-9.94519339,5750,3.061680760383606,0.001,0.0038170154043473303
54,320,50.0,293,10440.401620589197,16000,12688,-9.761044300000002,5950,3.133998122215271,0.001,0.0023895699810236692
55,324,50.0,292,10444.688435208052,16200,12701,-9.495747739999999,6150,3.179262499809265,0.001,0.002902522825170308
